id,title,slug,content,excerpt,type,event_date,location,featured_image,published,created_at,updated_at
00446e1a-6f89-4892-b6d5-3935c1836b78,Ideation and finalization of KMU Model,Ideation and finalization of KMU Model,n,,news,,,,true,2013-11-10 05:30:03.43945+00,2025-12-10 14:46:25.948559+00
0aa57254-d987-4474-a229-0bd66716acb6,Grand Opening of India Development Centre (IDC) in RheinBrücke,Grand Opening of India Development Centre (IDC) in RheinBrücke,"<br>
The IDC inauguration marks a key milestone for RheinBrücke attended by Vetri Selvan, Managing Partner and Founder of RheinBrücke IT Consulting, Simon Owers, CFO of American Golf and David F., the Head of IT Innovation & Strategy at American Golf. Their presence underscored the significance of this development and strong ties we share with our partners.
<br><br>
This cutting-edge centre reflects RheinBrücke’s unwavering commitment to delivering unparalleled digital transformation solutions and strengthening our partnership with American Golf, showcasing our relentless pursuit of excellence in providing world-class services.
<br><br>
American Golf is proudly the second client from the Endless LLP portfolio that RheinBrücke has the honour to serve. We take immense pride in supporting American Golf's ambitious digital transformation program, aiming to empower their business operations with innovative & customised solutions. Our sincere gratitude extends to Simon Owers & David F. for their unwavering support and trust in our expertise.
<br><br>
Vetri Selvan, Managing Partner and Founder of RheinBrücke IT Consulting, shared his thoughts: ""The IDC is a testament to RheinBrücke's global mission to empower businesses like American Golf with innovative digital solutions. This centre reflects our commitment to long-term partnerships and delivering exceptional value to our clients as we enter this exciting new chapter.""
<br><br>
Simon Owers, CFO of American Golf, expressed his gratitude: ""The launch of the IDC in Chennai marks a pivotal step forward in our collaboration with RheinBrücke. This new centre will enhance our operational efficiency and growth potential and I would like to extend my thanks to everyone involved for their hard work in making this a reality.""
<br><br>
David F., Head of IT Innovation & Strategy at American Golf, added: “We’re excited to strengthen our partnership with RheinBrücke through the new IDC. It enhances our ability to deliver innovative, scalable and sustainable digital solutions while ensuring vital 18x7 support for our business. This centre will be instrumental in supporting our long-term IT and operational strategies.""
<br><br>
We also extend our heartfelt thanks to James Waterhouse, Operating Partner to Endless LLP, Suresh KLM and Dr Tim Drye from BrandStak for their active participation in the ceremonial lighting of the lamp, making the event even more memorable & auspicious.
<br><br>
This is truly an exhilarating milestone for us & we are filled with anticipation and excitement as we look forward to a promising future with the American Golf IDC! The journey ahead is full of opportunities & we are committed to making the most of this development.
<br><br>
<a href=""https://www.youtube.com/watch?v=jChsv9rD-Bs"" target=""_blank"">Click Here to View the video</a>",,news,,,,true,2024-11-10 06:32:30.888145+00,2025-12-10 14:15:28.216165+00
15c6fa37-941f-49af-91cd-7322ba22561f,FLSmidth selects RheinBrücke IT Consulting for the global template implementation and rollout of Epicor ERP 10,FLSmidth selects RheinBrücke IT Consulting for the global template implementation and rollout of Epicor ERP 10,FLSmidth selects RheinBrücke IT Consulting for the global template implementation and rollout of Epicor ERP 10,,news,,,,true,2015-10-10 05:37:12.99342+00,2025-12-10 14:37:01.973554+00
16856666-b2d6-4980-95ac-d05c1cd9dbfa,RheinBrücke is honoured with three German Stevie awards 2016,RheinBrücke is honoured with three German Stevie awards 2016,RheinBrücke is honoured with three German Stevie awards 2016,,news,,,,true,2016-03-10 05:46:11.983596+00,2025-12-10 14:34:14.074718+00
17fb8855-8ae9-4d03-b977-ce9647554d7f,RheinBrücke IT consulting awarded Top 10 Best IT Companies to Work for in 2019 at Catalyst Awards 2019,RheinBrücke IT consulting awarded Top 10 Best IT Companies to Work for in 2019 at Catalyst Awards 2019,RheinBrücke IT consulting awarded Top 10 Best IT Companies to Work for in 2019 at Catalyst Awards 2019,,news,,,,true,2019-03-10 05:54:41.635431+00,2025-12-10 14:25:50.116601+00
25db3e2f-fd7e-4708-acf6-5802f9ca2f7e,FOCUS BUSINESS Top-Berater 2022 (Gold),FOCUS BUSINESS Top-Berater 2022 (Gold),FOCUS BUSINESS Top-Berater 2022 (Gold),,news,,,https://fltdymhjpiwnwltazqse.supabase.co/storage/v1/object/public/news-event-images/news-event-images/1765348454951-ssgrhl.jpg,true,2022-05-10 06:31:26.419979+00,2025-12-10 14:16:53.993435+00
2b5f6cdc-05b8-4c5f-98ce-182abee4c23c,Kenneth Taormina joins RheinBrücke as the Board Member,Kenneth Taormina joins RheinBrücke as the Board Member,Kenneth Taormina joins RheinBrücke as the Board Member,,news,,,,true,2017-05-10 05:49:57.704661+00,2025-12-10 14:27:56.996541+00
2ef0b167-6291-47dd-9e10-9345bcbff86a,RIC announced as EPICOR Platinum partner.,RIC announced as EPICOR Platinum partner.,n,,news,,,,true,2014-04-10 05:32:05.192264+00,2025-12-10 14:43:51.53274+00
3267fd5a-826e-403f-b230-624899f92fa2,RheinBrücke relaunches the Indian Development Center,RheinBrücke relaunches the Indian Development Center,RheinBrücke relaunches the Indian Development Center,,news,,,,true,2016-03-10 05:39:35.631287+00,2025-12-10 14:34:37.79941+00
3d87656f-fb1a-4301-91c8-af62cfd9bb5e,Epicor and RheinBrücke Join Forces with SmartWorld to Deliver Epicor ERP Solutions to Businesses in Dubai South,Epicor and RheinBrücke Join Forces with SmartWorld to Deliver Epicor ERP Solutions to Businesses in Dubai South,Epicor and RheinBrücke Join Forces with SmartWorld to Deliver Epicor ERP Solutions to Businesses in Dubai South,,news,,,,true,2017-06-10 05:50:32.194668+00,2025-12-10 14:27:14.171229+00
41f43e7b-7fb9-492b-889d-ea033bcfe3f9,RheinBrücke IT Consulting Recognized as Epicor International Partner of the Year,RheinBrücke IT Consulting Recognized as Epicor International Partner of the Year,RheinBrücke IT Consulting Recognized as Epicor International Partner of the Year,RheinBrücke IT Consulting Recognized as Epicor International Partner of the Year,news,,,,true,2018-06-10 05:47:07.762308+00,2025-12-10 14:26:28.52661+00
4c16b2fb-dd69-4a4e-a22b-54bcc418efb5,RheinKontakt 2019,RheinKontakt 2019,RheinKontakt 2019,,news,,,,true,2019-04-10 06:26:33.804588+00,2025-12-10 14:20:59.874733+00
579269df-01c6-4592-a707-4ee8707ed0e3,Protiviti and RheinBrücke Collaborate to Optimise eProcurement in the Middle East,Protiviti and RheinBrücke Collaborate to Optimise eProcurement in the Middle East,Protiviti and RheinBrücke Collaborate to Optimise eProcurement in the Middle East,,news,,,,true,2022-05-10 06:29:50.238484+00,2025-12-10 14:17:33.726745+00
5c8f196f-f3cd-4128-8379-d0e61b1f632f,RheinBrücke IT Consulting and EPICOR at Gitex 2017,RheinBrücke IT Consulting and EPICOR at Gitex 2017,RheinBrücke IT Consulting and EPICOR at Gitex 2017,,news,,,,true,2018-10-10 05:53:24.709629+00,2025-12-10 14:26:52.467041+00
6da25f17-c78f-42d9-928f-b85b8ff5ac11,RIC – signs up for ERP services for Global Life Sciences Customer,RIC – signs up for ERP services for Global Life Sciences Customer,n,,news,,,,true,2014-04-10 05:33:11.285303+00,2025-12-10 14:42:59.228591+00
768cde21-8939-4bbb-88d4-116ad8c80230,RheinBrücke receives Beste Berater award for 2020,RheinBrücke receives Beste Berater award for 2020,RheinBrücke receives Beste Berater award for 2020,,news,,,,true,2020-03-10 06:27:18.438942+00,2025-12-10 14:19:30.823221+00
76c96fcf-1478-443f-916b-0bb66c0fc160,RheinBrücke IT Consulting GmbH wins Stevie® Awards for Company of the Year.,RheinBrücke IT Consulting GmbH wins Stevie® Awards for Company of the Year.,n,,news,,,,true,2015-03-10 05:36:18.384545+00,2025-12-10 14:39:41.25662+00
7962438c-d037-4836-9bbb-7fb865eb69a9,RheinBrücke achieves the Microsoft Gold Competency Partner status,RheinBrücke achieves the Microsoft Gold Competency Partner status,RheinBrücke achieves the Microsoft Gold Competency Partner status,RheinBrücke achieves the Microsoft Gold Competency Partner status,news,,,,true,2014-10-10 05:35:22.123157+00,2025-12-10 14:41:11.488164+00
